,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
613,553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,False
625,564,Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,False
727,659,Bunnelby,Normal,,237,38,36,38,32,36,57,6,False
763,693,Clawitzer,Water,,500,71,73,88,120,89,59,6,False
183,169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False
453,408,Cranidos,Rock,,350,67,125,40,30,30,58,4,False
465,418,Buizel,Water,,330,55,65,35,60,30,85,4,False
191,177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False
749,680,Doublade,Steel,Ghost,448,59,110,150,45,49,35,6,False
578,519,Pidove,Normal,Flying,264,50,55,50,36,30,43,5,False
52,47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False
265,246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False
378,346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False
490,442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,False
134,125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False
641,580,Ducklett,Water,Flying,305,62,44,50,44,50,55,5,False
276,255,Torchic,Fire,,310,45,60,40,70,50,45,3,False
220,205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False
300,277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False
760,690,Skrelp,Poison,Water,320,50,60,60,60,60,30,6,False
432,387,Turtwig,Grass,,318,55,68,64,45,55,31,4,False
593,533,Gurdurr,Fighting,,405,85,105,85,40,50,40,5,False
612,552,Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,False
529,477,Dusknoir,Ghost,,525,45,100,135,65,135,45,4,False
297,274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False
189,175,Togepi,Fairy,,245,35,20,65,40,65,20,2,False
36,31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False
340,311,Plusle,Electric,,405,60,50,40,85,75,95,3,False
368,336,Seviper,Poison,,458,73,100,60,100,60,65,3,False
243,225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False
39,34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False
334,307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False
4,4,Charmander,Fire,,309,39,52,43,60,50,65,1,False
258,239,Elekid,Electric,,360,45,63,37,65,55,95,2,False
292,269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False
367,335,Zangoose,Normal,,458,73,115,60,60,60,90,3,False
387,354,BanetteMega Banette,Ghost,,555,64,165,75,93,83,75,3,False
50,45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False
464,417,Pachirisu,Electric,,405,60,45,70,45,90,95,4,False
741,673,Gogoat,Grass,,531,123,100,62,97,81,68,6,False
