,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
91,84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False
195,181,Ampharos,Electric,,510,90,75,85,115,90,55,2,False
294,271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False
470,423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,False
217,202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False
82,76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False
591,531,AudinoMega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,False
796,719,DiancieMega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,True
543,486,Regigigas,Normal,,670,110,160,110,80,110,100,4,True
694,633,Deino,Dark,Dragon,300,52,65,50,45,50,38,5,False
744,676,Furfrou,Normal,,472,75,80,60,65,90,102,6,False
225,209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,False
799,721,Volcanion,Fire,Water,600,80,110,120,130,90,70,6,True
339,310,ManectricMega Manectric,Electric,,575,70,75,80,135,80,135,3,False
424,383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True
71,65,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False
535,479,RotomFan Rotom,Electric,Flying,520,50,65,107,105,107,86,4,False
407,372,Shelgon,Dragon,,420,65,95,100,60,50,50,3,False
772,702,Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,False
686,625,Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,False
614,554,Darumaka,Fire,,315,70,90,45,15,45,50,5,False
208,193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False
33,28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False
751,681,AegislashShield Forme,Steel,Ghost,520,60,50,150,50,150,60,6,False
330,304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False
327,302,SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,False
538,481,Mesprit,Psychic,,580,80,105,105,105,105,80,4,True
127,118,Goldeen,Water,,320,45,67,60,35,50,63,1,False
372,340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False
742,674,Pancham,Fighting,,348,67,82,62,46,48,43,6,False
508,458,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,False
443,398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,False
184,170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False
