competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent
100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998
Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998
Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998
Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998
Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999
Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998
Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002
Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002
Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999
Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465
HersheyÕs Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002
HersheyÕs Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998
HersheyÕs Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998
HersheyÕs Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998
Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998
Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998
Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998
Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116
Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001
Peanut butter M&MÕs,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002
M&MÕs,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002
Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999
Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998
Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002
Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001
Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001
Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998
Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002
Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002
Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001
Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999
Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002
Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002
